time	magnitude
21.95958	11.511
22.01764	11.484
22.07806	11.442
22.1425	11.365
22.20514	11.219
22.26306	11.273
22.32069	11.204
22.37764	11.08
22.43472	11.131
22.49028	11.097
22.54458	11.05
22.5975	10.944
22.64667	11.067
22.69139	11.058
22.73722	11.066
22.78389	10.978
22.82694	11.047
22.87	10.986
22.90972	11.005
22.94542	11.018
22.98153	11.057
23.01847	11.028
23.05653	10.975
23.09403	11.019
23.13097	11.021
23.16764	10.983
23.20375	11.041
23.24083	10.95
23.27792	10.998
23.31458	10.994
23.35264	11.048
23.38986	11.051
23.42764	11.058
23.46528	11.049
23.50417	11.074
23.54333	10.989
23.58222	10.956
23.62125	11.005
23.66069	11.004
23.70014	11.025
23.73847	11.088
23.77653	11.085
23.81458	11.088
23.85264	11.078
23.89069	11.083
23.92931	11.169
23.96792	11.18
24.00625	11.18
24.04431	11.197
24.08236	11.23
24.12042	11.282
24.15847	11.362
24.1975	11.348
24.23694	11.513
24.27806	11.505
24.31861	11.576
24.35889	11.592
24.39917	11.579
24.44028	11.654
24.48056	11.75
24.52083	11.668
24.56139	11.707
24.60167	11.765
24.64694	11.447
24.69833	11.332
24.74833	11.298
24.79694	11.22
24.84514	11.209
24.89375	11.335
24.94236	11.062
24.99028	11.162
25.03861	11.09
25.08667	11.054
25.13472	10.894
25.18278	10.994
25.23	10.981
25.27722	10.992
25.32444	10.959
25.46556	11.02
25.51194	11.012
25.55833	10.941
25.60583	10.959
25.65222	10.9
25.69861	10.949
25.74528	10.944
25.79167	10.933
25.83806	10.931
25.88403	10.905
25.93042	10.929
25.97625	11.037
26.02153	10.988
26.06653	11.009
26.11236	10.989
26.15792	11
26.20403	10.999
26.24958	10.998
26.29542	11.044
26.34097	11.102
26.38778	11.102
26.435	11.123
26.48222	11.083
26.53028	11.052
26.57944	11.123
26.62833	11.211
26.67708	11.2
26.72792	11.277
26.77819	11.381
26.82819	11.477
26.87819	11.536
