time	magnitude
21.95958	11.511
22.01764	11.484
22.07806	11.442
22.1425	11.365
22.20514	11.219
22.26306	11.273
22.32069	11.204
22.37764	11.08
22.43472	11.131
22.49028	11.097
22.54458	11.05
22.5975	10.944
22.64667	11.067
22.69139	11.058
22.73722	11.066
22.78389	10.978
22.82694	11.047
22.87	10.986
22.90972	11.005
22.94542	11.018
22.98153	11.057
23.01847	11.028
23.05653	10.975
23.09403	11.019
23.13097	11.021
23.16764	10.983
23.20375	11.041
23.24083	10.95
23.27792	10.998
23.31458	10.994
23.35264	11.048
23.38986	11.051
23.42764	11.058
23.46528	11.049
23.50417	11.074
23.54333	10.989
23.58222	10.956
23.62125	11.005
23.66069	11.004
23.70014	11.025
23.73847	11.088
23.77653	11.085
23.81458	11.088
23.85264	11.078
23.89069	11.083
23.92931	11.169
23.96792	11.18
24.00625	11.18
24.04431	11.197
24.08236	11.23
24.12042	11.282
24.15847	11.362
24.1975	11.348
24.23694	11.513
24.27806	11.505
24.31861	11.576
24.35889	11.592
24.39917	11.579
24.44028	11.654
24.48056	11.75
24.52083	11.668
24.56139	11.707
24.60167	11.765
24.64694	11.447
24.69833	11.332
24.74833	11.298
24.79694	11.22
24.84514	11.209
24.89375	11.335
24.94236	11.062
24.99028	11.162
25.03861	11.09
25.08667	11.054
25.13472	10.894
25.18278	10.994
25.23	10.981
25.27722	10.992
25.32444	10.959
25.37167	10.566
25.41917	10.48
25.46556	11.02
25.51194	11.012
25.55833	10.941
25.60583	10.959
25.65222	10.9
25.69861	10.949
25.74528	10.944
25.79167	10.933
25.83806	10.931
25.88403	10.905
25.93042	10.929
25.97625	11.037
26.02153	10.988
26.06653	11.009
26.11236	10.989
26.15792	11
26.20403	10.999
26.24958	10.998
26.29542	11.044
26.34097	11.102
26.38778	11.102
26.435	11.123
26.48222	11.083
26.53028	11.052
26.57944	11.123
26.62833	11.211
26.67708	11.2
26.72792	11.277
26.77819	11.381
26.82819	11.477
26.87819	11.536
44.495	11.055
44.53361	10.939
44.57375	10.855
44.61319	11.066
44.65208	11.001
44.69097	11.132
44.72986	11.123
44.76903	10.875
44.80722	11.032
44.84125	11.069
44.87389	11.007
44.90556	11.098
44.93611	11.146
44.96611	11.146
44.99639	11.165
45.02694	11.192
45.05944	11.106
45.09194	11.207
45.12611	11.226
45.15722	11.304
45.18861	11.169
45.22056	11.259
45.25306	11.215
45.28528	11.184
45.31722	11.254
45.34917	11.303
45.38139	11.297
45.41333	11.334
45.44528	11.463
45.47792	11.514
45.51125	11.454
45.54458	11.492
45.57792	11.676
45.61125	11.678
45.64528	11.607
45.68278	11.59
45.72028	11.648
45.75778	11.782
45.79528	11.69
45.83306	11.636
45.87056	11.603
45.90806	11.525
45.94556	11.584
45.98306	11.443
46.02056	11.463
46.05806	11.35
46.09583	11.394
46.13306	11.282
46.17	11.263
46.20694	11.263
46.24403	11.308
46.28042	11.19
46.31375	11.242
46.34722	11.34
46.38028	11.283
46.41306	11.236
46.44611	11.161
46.47833	11.152
46.51	11.17
46.54056	11.011
46.57083	11.133
46.60083	11.11
46.62944	11.114
46.65806	11.091
46.68694	11.099
46.71694	11.072
46.74833	11.145
46.77889	11.128
46.80889	11.084
46.83917	11.12
46.86917	11.084
46.89917	11.082
46.92917	11.087
46.95917	11.068
46.98944	11.13
47.02	11.15
47.05083	11.096
47.08139	11.084
47.11194	11.032
47.1425	11.067
47.17333	11.063
47.20444	11.122
47.23583	11.05
47.26833	11.139
47.30083	11.137
47.33333	11.116
47.36583	11.109
47.39833	11.159
47.43111	11.056
47.46389	11.189
47.49639	11.172
47.52889	11.172
47.56139	11.168
47.59472	11.237
47.62722	11.203
47.66028	11.206
47.69472	11.233
47.72917	11.238
47.76361	11.227
47.78444	11.255
47.82028	11.309
47.85611	11.376
47.89833	11.327
47.93417	11.393
47.97028	11.409
48.00667	11.44
48.04278	11.52
48.07917	11.538
48.1175	11.568
48.15611	11.696
48.19667	11.74
48.23694	11.826
48.2775	11.82
48.31833	11.838
48.35861	11.845
48.39889	11.798
48.43944	11.901
48.47972	11.876
48.5175	11.806
48.555	11.81
48.59333	11.75
48.63083	11.637
48.66833	11.599
48.70583	11.537
48.74417	11.476
48.78167	11.454
48.81972	11.377
48.85778	11.393
48.89556	11.331
48.93306	11.286
48.97056	11.222
49.00861	11.183
49.04611	11.149
49.08361	11.172
49.12139	11.092
49.15889	11.161
49.19639	11.099
49.23417	11.059
49.27222	11.103
49.30972	11.015
49.34778	11.103
49.38528	11.007
49.42361	11.043
